"jou","issn","SciMet_A","SciMet_B","SciMet_C","entry"
"The European Physical Journal C - Particles and Fields","1434-6044","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"The New England journal of medicine","0028-4793","Health Sciences","Clinical Medicine","General & Internal Medicine","auto_issn"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Physical Review Letters","0031-9007","Natural Sciences","Physics & Astronomy","General Physics","auto_issn"
"PloS one","1932-6203","General","General Science & Technology","General Science & Technology","auto_name"
"The Lancet","0140-6736","Health Sciences","Clinical Medicine","General & Internal Medicine","auto_issn"
"Journal of Hypertension","0263-6352","Health Sciences","Clinical Medicine","Cardiovascular System & Hematology","auto_issn"
"Bulletin of the American Meteorological Society","0003-0007","Natural Sciences","Earth & Environmental Sciences","Meteorology & Atmospheric Sciences","auto_issn"
"Cretaceous Research","0195-6671","Natural Sciences","Earth & Environmental Sciences","Paleontology","auto_issn"
"Environmental Research Letters","1748-9326","Natural Sciences","Earth & Environmental Sciences","Meteorology & Atmospheric Sciences","auto_name"
"Environmental Research Letters","1748-9326","Natural Sciences","Earth & Environmental Sciences","Meteorology & Atmospheric Sciences","auto_name"
"Fungal biology","1878-6146","Health Sciences","Biomedical Research","Microbiology","manual"
"IEEE Transactions on Ultrasonics, Ferroelectrics and Frequency Control","0885-3010","Natural Sciences","Physics & Astronomy","Acoustics","auto_issn"
"International Journal of Disaster Risk Science","2095-0055","Natural Sciences","Earth & Environmental Sciences","Geology","manual"
"International Journal of Geomechanics (ASCE)","1532-3641","Natural Sciences","Mathematics & Statistics","General Mathematics","auto_issn"
"International Journal of Plasticity","0749-6419","Applied Sciences","Engineering","Mechanical Engineering & Transports","auto_issn"
"Journal of Clinical Virology","1386-6532","Health Sciences","Biomedical Research","Virology","auto_issn"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Journal of Instrumentation","1748-0221","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Journal of Mathematical Biology","0303-6812","Applied Sciences","Enabling & Strategic Technologies","Bioinformatics","auto_issn"
"Journal of Stroke & Cerebrovascular Diseases","1052-3057","Health Sciences","Clinical Medicine","Neurology & Neurosurgery","auto_issn"
"Journal of the American Society of Nephrology : JASN","1046-6673","Health Sciences","Clinical Medicine","Urology & Nephrology","auto_issn"
"Klinische Neurophysiologie","1434-0275","Health Sciences","Clinical Medicine","Neurology & Neurosurgery","auto_issn"
"Materials","1996-1944","Applied Sciences","Enabling & Strategic Technologies","Materials","manual"
"Movement Disorders","0885-3185","Health Sciences","Clinical Medicine","Neurology & Neurosurgery","auto_issn"
"Plant and Soil","0032-079X","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","auto_issn"
"Plant and Soil","0032-079X","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","auto_issn"
"Review of Scientific Instruments","0034-6748","Natural Sciences","Physics & Astronomy","Applied Physics","auto_issn"
"Science Advances","2375-2548","General","General Science & Technology","General Science & Technology","manual"
"Science of the Total Environment","0048-9697","Natural Sciences","Earth & Environmental Sciences","Environmental Sciences","auto_issn"
"Trends in Analytical Chemistry","0165-9936","Natural Sciences","Chemistry","Analytical Chemistry","auto_issn"
"Data in Brief","2352-3409","Applied Sciences","Information & Communication Technologies","Computation Theory & Mathematics","manual"
"Annals of the rheumatic diseases","0003-4967","Health Sciences","Clinical Medicine","Arthritis & Rheumatology","auto_issn"
"Annals of the rheumatic diseases","0003-4967","Health Sciences","Clinical Medicine","Arthritis & Rheumatology","auto_issn"
"Sustainability (Basel)","2071-1050","Natural Sciences","Earth & Environmental Sciences","Environmental Sciences","manual"
"Sustainability (Basel)","2071-1050","Natural Sciences","Earth & Environmental Sciences","Environmental Sciences","manual"
"Future oncology (London, England)","1479-6694","Health Sciences","Clinical Medicine","Oncology & Carcinogenesis","auto_issn"
"Applied sciences (Basel)","2076-3417","General","General Science & Technology","General Science & Technology","manual"
"Transportation Research Part D: Transport and Environment","1361-9209","Economic & Social Sciences","Economics & Business ","Logistics & Transportation","auto_issn"
"Journal of Evolution Equations ","1424-3199","Natural Sciences","Mathematics & Statistics","General Mathematics","auto_issn"
"Materials","1996-1944","Applied Sciences","Enabling & Strategic Technologies","Materials","manual"
"Naturwissenschaften","0028-1042","General","General Science & Technology","General Science & Technology","auto_issn"
"Concurrent Engineering","1063-293X","Applied Sciences","Built Environment & Design","Design Practice & Management","auto_issn"
"PloS one","1932-6203","General","General Science & Technology","General Science & Technology","auto_name"
"Florida Entomologist","0015-4040","Natural Sciences","Biology","Entomology","auto_issn"
"Medical Mycology (Informa)","1369-3786","Health Sciences","Biomedical Research","Microbiology","auto_issn"
"Nature Plants","2055-026X","Natural Sciences","Biology","Plant Biology & Botany","manual"
"Wiener klinische Wochenschrift","0043-5325","Health Sciences","Clinical Medicine","General Clinical Medicine","auto_issn"
"Geologica Carpathica","1335-0552","Natural Sciences","Earth & Environmental Sciences","Geology","auto_issn"
"ACM Transactions on Programming Languages and Systems","0164-0925","Applied Sciences","Information & Communication Technologies","Software Engineering","auto_issn"
"Chinese Journal of Integrative Medicine","1672-0415","Health Sciences","Clinical Medicine","Complementary & Alternative Medicine","auto_issn"
"Leukemia","0887-6924","Health Sciences","Clinical Medicine","Immunology","auto_issn"
"The Astrophysical Journal","0004-637X","Natural Sciences","Physics & Astronomy","Astronomy & Astrophysics","auto_issn"
"IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems","0278-0070","Applied Sciences","Information & Communication Technologies","Computer Hardware & Architecture","auto_issn"
"International Journal of Epidemiology","0300-5771","Health Sciences","Public Health & Health Services","Epidemiology","auto_issn"
"Mitigation and Adaptation Strategies for Global Change","1381-2386","Natural Sciences","Earth & Environmental Sciences","Meteorology & Atmospheric Sciences","auto_issn"
"Natural Hazards","0921-030X","Applied Sciences","Enabling & Strategic Technologies","Strategic, Defence & Security Studies","auto_issn"
"Molecular Plant Pathology","1464-6722","Natural Sciences","Biology","Plant Biology & Botany","auto_issn"
"Journal of Cleaner Production","0959-6526","Natural Sciences","Earth & Environmental Sciences","Environmental Sciences","auto_issn"
"Nuclear Fusion","0029-5515","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","auto_issn"
"Journal of Alloys and Compounds","0925-8388","Applied Sciences","Enabling & Strategic Technologies","Materials","auto_issn"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Physical Review Letters","0031-9007","Natural Sciences","Physics & Astronomy","General Physics","auto_issn"
"Scientific reports","2045-2322","General","General Science & Technology","General Science & Technology","manual"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Geophysical Research Letters","0094-8276","Natural Sciences","Earth & Environmental Sciences","Meteorology & Atmospheric Sciences","auto_issn"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"The European Physical Journal C - Particles and Fields","1434-6044","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Physical Review Letters","0031-9007","Natural Sciences","Physics & Astronomy","General Physics","auto_issn"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Journal of Clinical Oncology","0732-183X","Health Sciences","Clinical Medicine","Oncology & Carcinogenesis","auto_issn"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Physical Review Letters","0031-9007","Natural Sciences","Physics & Astronomy","General Physics","auto_issn"
"Physical Review Letters","0031-9007","Natural Sciences","Physics & Astronomy","General Physics","auto_issn"
"Physical Review Letters","0031-9007","Natural Sciences","Physics & Astronomy","General Physics","auto_issn"
"Demographic research","1435-9871","Economic & Social Sciences","Social Sciences","Demography","auto_name"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Clinical cancer research : an official journal of the American Association for Cancer Research","1078-0432","Health Sciences","Clinical Medicine","Oncology & Carcinogenesis","auto_issn"
"Physical Review Letters","0031-9007","Natural Sciences","Physics & Astronomy","General Physics","auto_issn"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"New Journal of Physics","1367-2630","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","auto_name"
"Nature","0028-0836","General","General Science & Technology","General Science & Technology","auto_issn"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"The Astrophysical Journal","0004-637X","Natural Sciences","Physics & Astronomy","Astronomy & Astrophysics","auto_issn"
